sanskrit,english,q_en_1,q_en_2,q_en_3,q_en_4,a_en_1,a_en_2,a_en_3,a_en_4,q_hi_1,q_hi_2,q_hi_3,q_hi_4,a_hi_1,a_hi_2,a_hi_3,a_hi_4,q_sa_1,q_sa_2,q_sa_3,q_sa_4,a_sa_1,a_sa_2,a_sa_3,a_sa_4,tags
"विपरीतगुणैर्देशमात्राकालोपपादितैः |
भेषजैर्विनिवर्तन्ते विकाराः साध्यसम्मताः ||६२||
साधनं न त्वसाध्यानां व्याधीनामुपदिश्यते |

","Curable disorders go back by drugs having opposite properties and administered with due consideration of place, dose and time. Treatment of incurable diseases is not advised. [62]",What is the principle behind using medicines with opposite qualities to treat a disease?,Which factors must be considered when administering such medicines for them to be effective?,How should a practitioner approach a disease that is deemed incurable?,Why is it important to match the drug's qualities with the nature of the disorder?,The principle is that a drug possessing properties opposite to those causing the disorder can counteract and reverse the condition.,"Effectiveness depends on proper selection of the location of application, appropriate dosage, and correct timing.",The practitioner should refrain from attempting treatment for an incurable disease.,"Matching opposite qualities ensures that the drug directly neutralizes the pathogenic factors, leading to recovery.",रोग के उपचार में विपरीत गुण वाले औषधि प्रयोग करने का सिद्धांत क्या है?,ऐसी औषधियों को प्रभावी बनाने के लिये कौन-कौन से तत्वों का ध्यान रखना चाहिए?,यदि कोई रोग असाध्य माना जाता है तो चिकित्सक को क्या करना चाहिए?,रोग के स्वरूप के विपरीत गुण वाली औषधि का उपयोग क्यों महत्वपूर्ण है?,वह सिद्धांत है कि रोग के कारण वाले गुणों के विपरीत गुण वाली औषधि रोग को निरस्त्र करके ठीक कर सकती है।,"स्थान, उचित मात्रा और समय का सही चयन आवश्यक है।",असाध्य रोग के लिए उपचार करने से परहेज करना चाहिए।,इससे रोग के कारणी तत्वों को सीधे विरोध करके रोग की प्रवृत्ति समाप्त होती है।,रोगस्य निराकरणे विपरीतगुणैः औषधिं प्रयोजनस्य सिद्धान्तः कः?,एतां औषधिं कार्यक्षमायां कियत् तत्वानि मन्यन्ते?,असाध्यरोगस्य उपचारस्य विषये चिकित्सकः किम् कर्तव्यम्?,रोगस्य गुणेण विपरीतम् औषधिं प्रयोजनं किमर्थं महत्त्वपूर्णम्?,रोगे कारणभूषितगुणेण विरुद्धं गुणं युक्ता औषधिः रोगं निराकुर्वन्ति।,"स्थानम्, यथोचितं मात्रा, तथा समयस्य उचितनिर्धारणम् आवश्यकम्।",असाध्यरोगे उपचारं न कर्तुं प्रयतितव्यम्।,तेन रोगस्य कारणीभूतगुणेण विरोधं कृत्वा रोगस्य प्रवृत्तिं निरस्यति।,
भूयश्चातो यथाद्रव्यं गुणकर्माणि वक्ष्यते ।।६३|।,Now the properties and actions accordings to drugs will be described in details. [63],What will be explained next regarding medicinal substances?,"In the study of pharmacology, what two main aspects of a drug are examined?",Why is it important to understand both the qualities and functions of a drug?,How does a detailed description of a drug’s properties and actions benefit a practitioner?,The properties and actions of the drugs will be described in detail.,Its properties (characteristics) and its actions (effects) are examined.,Because this knowledge allows prediction of therapeutic outcomes and safety.,"It enables precise selection and dosage, thereby improving treatment efficacy.",आगे कौन‑सी जानकारी दी जाएगी औषधियों के बारे में?,औषधियों के अध्ययन में किन दो मुख्य पहलुओं को देखा जाता है?,किसी औषधि के गुण और क्रिया को समझना क्यों आवश्यक है?,विस्तृत गुण‑क्रिया विवरण से चिकित्सक को क्या लाभ मिलता है?,उनके गुणों और क्रियाओं का विस्तृत विवरण दिया जाएगा।,उनका गुण (स्वभाव) और क्रिया (प्रभाव) देखा जाता है।,इससे उसके उपचारात्मक प्रभाव और सुरक्षा का अनुमान लगाया जा सकता है।,वह सही चयन और मात्रा निर्धारित करके उपचार की प्रभावशीलता बढ़ा सकता है।,किम्‌भविष्यति औषधीनां विषये विस्तरेण वर्णनम्?,औषधीनां अध्ययनस्य मुख्यानि द्वे पक्षौ किम्?,औषधीनां गुणक्रियाणि विज्ञातुं किमर्थम् आवश्यकम्?,विस्तरेण गुणक्रिया वर्णनात् चिकित्सकस्य किम् लाभः स्यात्?,तेषां गुणाः क्रियाश्च विस्तरेण वर्ण्यन्ते।,तेषां गुणानि च क्रियाः।,तत्रैव तस्य औषधस्य लाभः सुरक्षा च निर्धीयते।,"तेन औषधस्य यथोचितं चयनं मात्रा च निर्धीयते, यत् उपचारस्य प्रभावं वर्धयति।",
"
रसनार्थो रसस्तस्य द्रव्यमापः क्षितिस्तथा |
निर्वृत्तौ च विशेषे च प्रत्ययाः खादयस्त्रयः ||६४||

","Rasa is the object of rasana (gustatory sense organ). Its material substances are ap and prthivi. In manifestation and differentiation of rasa, the other three akasa etc. (akasa, vayu and tejas) are causative factors. [64]",Which sense organ perceives rasa?,What material elements constitute rasa?,Which three subtle elements act as causative factors in the manifestation of rasa?,How do the three subtle elements influence the differentiation of rasa?,"Rasa is perceived by the gustatory sense organ, known as rasana.",Rasa is composed of the elements ap (water) and prithvi (earth).,"Akasha (space), Vayu (air), and Tejas (fire) serve as causative factors for rasa.",They cause the specific qualities and distinctions to arise within rasa.,रस किस इन्द्रिया द्वारा अनुभूत होता है?,रस के मूल पदार्थ कौन‑से हैं?,रस के प्रकट होने में कौन‑से तीन सूक्ष्म तत्व कारण बनते हैं?,ये तीन सूक्ष्म तत्व रस के विभेदन में कैसे योगदान देते हैं?,"रस को घ्राण (स्वाद) इन्द्रिया, अर्थात् रसना द्वारा महसूस किया जाता है।",रस के मूल तत्व जल (आप) और पृथ्वी हैं।,"आकाश, वायु और तेज़ (अग्नि) कारणात्मक तत्व हैं।",वे रस की विशिष्ट गुणधर्मों और भेदों को उत्पन्न करने में कारण बनते हैं।,कः इन्द्रियः रसस्य अनुभावनां करोति?,रसस्य मूलद्रव्ये कौ?,रसस्य प्रकाशे काः त्रयः कारणात्मकाः?,एते कारणात्मकाः कस्मात् प्रकारेण रसस्य विविधत्वं निर्माति?,रसना इन्द्रियः रसस्य अनुभावनां करोति।,आप् इति जलद्रव्यं च पृथिवी इति स्थलीयद्रव्यं रसस्य मूलद्रव्ये वर्तते।,"आकाशः, वायुः, तेजः इति त्रयः कारणात्मकाः भवन्ति।",एतेन त्रयैः रसस्य विशेषगुणाः उत्पद्यन्ते च तस्य विविधत्वम् आरभ्यते।,
स्वादुरम्लोऽथ लवणः कटुकस्तिक्त एव च । कषायश्चेति षट्कोऽयं रसानां संग्रहः स्मृतः ।। ६५।।,"Sweet, sour, saline, pungent, bitter and asSUngent-this is the group of six raSU (tastes). [65]",What are the six primary categories of taste recognized in traditional Indian classification?,Which taste corresponds to the Sanskrit term 'katu'?,"In the six-taste system, which taste is identified by the characteristic of sourness?",How many distinct tastes are grouped together in this classification?,"The six tastes are sweet, sour, salty (saline), pungent, bitter, and astringent.",The taste described by the term 'katu' is pungent.,Sourness corresponds to the sour taste in the six-taste system.,There are six distinct tastes in this grouping.,परम्परागत भारतीय वर्गीकरण में किन छह प्रमुख स्वादों को शामिल किया जाता है?,संतुष्ट शब्द 'कटु' किस स्वाद को दर्शाता है?,छह स्वादों में से खट्टे स्वाद को किस नाम से जाना जाता है?,इस वर्गीकरण में कुल कितने अलग-अलग स्वाद सम्मिलित हैं?,"इनमें मीठा, खट्टा, नमकीन, कड़वा, कषाय और तिक्त ये छह स्वाद शामिल हैं।",कटु शब्द कड़वे (पुंझक) स्वाद को दर्शाता है।,खट्टे स्वाद को 'अम्ल' कहा जाता है।,इस समूह में कुल छह विभिन्न स्वाद हैं।,परम्परागत भारतीय वर्गीकरणे षड्विषयः किम्?,संतुष्ट शब्दः कटकः कस्य रसानः संकेतः?,षड्विषयोः कः अम्लस्य लक्षणम्?,अस्य संग्रहे कियत् विभिन्नाः रसाः सम्मिलिताः?,"षड्विषयः मधुरः, अम्लः, लवणः, कटु, कषायः, तिक्तः इति सन्ति।",कटु इत्येतद् रसनम् कड्व (पुंझक) इति सूच्यते।,अम्ल इत्यस्य लक्षणम् खट्टः रसं अस्ति।,अस्मिन् समूहः षड् विभिन्नाः रसाः सम्मिलिताः।,
"स्वाद्वम्ललवणा वायुं, कषायस्वादुतिक्तकाः |
जयन्ति पित्तं, श्लेष्माणं कषायकटुतिक्तकाः ||६६||
(कट्वम्ललवणाः पित्तं, स्वाद्वम्ललवणाः कफम् |
कटुतिक्तकषायाश्च कोपयन्ति समीरणम् [१४] ||१||)|
","(Among these taste) sweet, sour and saline overcome vayu; asSUngent, sweet and bitter subdue pitta and asSUngent, pungent and bitter win over kapha. [66]",Which tastes are said to overcome Vata?,Which tastes subdue Pitta?,Which tastes are said to win over Kapha?,How are the tastes categorized in relation to the three bodily humors?,"Sweet, sour, and saline tastes overcome Vata.","Astringent, sweet, and bitter tastes subdue Pitta.","Astringent, pungent, and bitter tastes win over Kapha.","The tastes are grouped so that sweet, sour, and saline act on Vata; astringent, sweet, and bitter act on Pitta; and astringent, pungent, and bitter act on Kapha.",कौन से स्वाद वायु को शांत करते हैं?,पित्त को कौन से स्वाद शांत करते हैं?,कफ को कौन से स्वाद जीतते हैं?,तीन दोषों के अनुसार स्वादों का वर्गीकरण कैसे किया गया है?,"मीठा, खट्टा और लवणीय (नमकीन) स्वाद वायु को शांत करते हैं।","कषाय (कड़वा), मीठा और कड़वा स्वाद पित्त को शांत करते हैं।","कषाय, कटु और कड़वा स्वाद कफ को जीतते हैं।","वायु के लिए मीठा, खट्टा, लवण; पित्त के लिए कषाय, मीठा, कड़वा; कफ के लिए कषाय, कटु, कड़वा निर्धारित किए गये हैं।",कस्य स्वादाः वायुं पराजयन्ति?,पित्तं किनैः स्वादैः शान्त्यति?,कफं किनैः स्वादैः जिज्ञास्यते?,त्रिदोषानां अनुसारं स्वादानां वर्गीकरणं किम्?,"मधुरः, आम्लः, लवणः च वायुं पराजयन्ति।","कषायः, मधुरः, कड्वः पित्तं शान्त्यन्ति।","कषायः, कटु, कड्वः कफं जिज्ञास्यते।","वायोः मधुरः, आम्लः, लवणः; पित्तस्य कषायः, मधुरः, कड्वः; कफस्य कषायः, कटु, कड्वः इति वर्गीकृताः।",
"किञ्चिद्दोषप्रशमनं किञ्चिद्धातुप्रदूषणम् |
स्वस्थवृत्तौ मतं किञ्चित्त्रिविधं द्रव्यमुच्यते ||६७||

","Drug is a three types—(1) some (drug) is pacifier of dosas, (2) Some (drug) vitiates dhatus and (3) some is taken as (responsible for) maintaining normal health. [67]",What are the three functional categories used to classify a drug?,Which category of drug is intended to calm or pacify the doshas?,What is the effect of a drug that belongs to the second category mentioned?,For what purpose is a drug from the third category administered?,"A drug can be classified as (i) a pacifier of doshas, (ii) a vitiator of dhatus, or (iii) a promoter of normal health.","The first category, the pacifier of doshas, is intended to calm the doshas.",A drug that vitiates dhatus harms or impairs the bodily tissues (dhatus).,A drug from the third category is taken to maintain or support normal health.,एक औषधि को किन तीन प्रकारों में वर्गीकृत किया जाता है?,कौन सा प्रकार की औषधि दोषों को शांत करने के लिए उपयोगी होती है?,धातु को वृष्ट करने वाली औषधि का क्या प्रभाव होता है?,सामान्य स्वास्थ्य को बनाए रखने के लिये कौन सी औषधि ली जाती है?,"औषधि को (i) दोष‑शामक, (ii) धातु‑वृष्टकर्ता, और (iii) स्वास्थ्य‑संरक्षक के रूप में वर्गीकृत किया जाता है।","पहला प्रकार, अर्थात् दोष‑शामक औषधि, दोषों को शांत करने के लिये प्रयुक्त होती है।",धातु‑वृष्टकर्ता औषधि धातुओं को क्षति या विकृति पहुँचाती है।,स्वास्थ्य‑संरक्षक औषधि सामान्य स्वास्थ्य को बनाए रखने या उसे सुदृढ़ करने के लिये ली जाती है।,औषधिं कः त्रिषु वर्गेभ्यः विभज्यते?,दोषशान्तये कस्य वर्गस्य औषधिः उपयुज्यते?,धातुवृष्टिकारिणी औषधेः परिणामः कः?,सामान्यस्वास्थ्यरक्षणाय कस्य वर्गस्य औषधिः स्वीक्रिया भवति?,"औषधिं (i) दोषशान्तकारिणी, (ii) धातुवृष्टिकारिणी, (iii) सामान्यस्वास्थ्यरक्षणकारिणी इत्यत्रैव वर्गीकुर्यः।",दोषशान्तकारिणी वर्गस्य औषधिः दोषान् प्रशमयति।,धातुवृष्टिकारिणी औषधेः धातून् क्षीणयति वा विकारयति।,सामान्यस्वास्थ्यरक्षणकारिणी वर्गस्य औषधिं स्वास्थ्यम् अनुकूलं कर्तुं गृह्यते।,
"तत् पुनस्त्रिविधं प्रोक्तं जङ्गमौद्भिदपार्थिवम् [१५] |
मधूनि गोरसाः पित्तं वसा मज्जाऽसृगामिषम् ||६८||
विण्मूत्रचर्मरेतोऽस्थिस्नायुशृङ्गनखाः खुराः |
जङ्गमेभ्यः प्रयुज्यन्ते केशा लोमानि रोचनाः ||६९||
सुवर्णं समलाः पञ्च लोहाः ससिकताः सुधा |
मनःशिलाले मणयो लवणं गैरिकाञ्जने ||७०||
भौममौषधमुद्दिष्टमौद्भिदं तु चतुर्विधम् |
वनस्पतिस्तथा वीरुद्वानस्पत्यस्तथौषधिः ||७१||
फलैर्वनस्पतिः पुष्पैर्वानस्पत्यः फलैरपि |
ओषध्यः फलपाकान्ताः प्रतानैर्वीरुधः स्मृताः ||७२||
मूलत्वक्सारनिर्यासनाल(ड)स्वरसपल्लवाः |
क्षाराः क्षीरं फलं पुष्पं भस्म तैलानि कण्टकाः ||७३||
पत्राणि शुङ्गाः कन्दाश्च प्ररोहाश्चौद्भिदो गणः |७४|

","That (drug) is again said as of three types (according to source)—(1) of animal origin, (2) of  plant origin and (3) of earth origin. Honey, milk and its products, bile, muscle fat, marrow, blood, flesh, faeces, urine, skin, semen, bone, ligament, horn, nail, hoof, hairs including smaller ones, bile concretions are used from animal sources. Gold, five lohas (silver, copper, iron, lead and tin) alongwith their excreta, silica, calcites, realgar, orpiment, gems, salt, ochre, galena—this is the group of the drugs obtained from earth. The drugs of vegetable origin are of four types, (1) vanaspati, (2) virudh, (3) vanaspatya and (4) osadhi. Vanaspati is known by fruits, vanaspatya by both flowers and fruits, osadhi perish after fruiting and ripening and virudh is known by diffuseness. The group of vegetable parts (used) is root, bark, heartwood, secretions, stalk, expressed juice, tender leaves, alkali, latex, fruit, flower, ash, oil, thorn, leaves, leaf-buds, tubers and sprouts. [68-73]",What are the three primary categories of medicinal substances based on their origin?,Give three examples of animal-derived substances that are employed as medicines.,Which metals and earth-derived materials are included among the mineral-based medicinal substances?,How are the four types of plant-based medicines classified and what distinguishes each type?,"The substances are classified as animal origin, plant origin, and earth (mineral) origin.","Examples include honey, milk (and its products), and bile.","They include gold, the five lohas—silver, copper, iron, lead, and tin—along with silica, calcite, realgar, orpiment, gems, salt, ochre, and galena.","The four types are vanaspati (derived from fruits), virudh (identified by diffuseness), vanaspatya (from both flowers and fruits), and osadhi (which become ineffective after fruiting and ripening).",औषधियों को उनके मूल के आधार पर किन तीन प्रमुख वर्गों में विभाजित किया जाता है?,"जानवरों से प्राप्त किन तीन पदार्थों को औषधियों के रूप में प्रयोग किया जाता है, उदाहरण दें।",खनिज-आधारित औषधियों में कौन-कौन से धातु और पृथ्वी से प्राप्त पदार्थ शामिल हैं?,पौधे से प्राप्त चार प्रकार की औषधियों को कैसे वर्गीकृत किया गया है और प्रत्येक प्रकार की विशेषता क्या है?,"औषधियों को पशु मूल, वनस्पति मूल और पृथ्वी (खनिज) मूल के रूप में वर्गीकृत किया गया है।","उदाहरण के तौर पर शहद, दूध (और उसके उत्पाद) तथा पित्त को लिया जा सकता है।","इनमें सोना, पाँच लोहे (रूपा, तांबा, लोहे, सीसा और टिन) तथा सिलिका, कैल्साइट, रियलगार, ओर्पिमेंट, रत्न, नमक, ओखर और गैलेना शामिल हैं।","ये चार प्रकार हैं: वनस्पति (केवल फल से), विरुध (विसरता द्वारा पहचाना जाता है), वनस्पतिया (फूल और फल दोनों से) और औषधि (फल लगने और पकने के बाद अप्रभावी हो जाती है)।",औषधीनाम् मूलभेदानुसारं कति प्रमुखाः वर्गाः सन्ति?,पशुजन्यं किम् त्रयो द्रव्याणि औषधिनामुपयोगेण दर्शितानि?,पृथिव्याप्राप्तं धातु‑सामग्र्यां कियत् धातवः तथा इतराणि पदार्थानि सूच्यन्ते?,वनस्पतीभ्यः चत्वारः प्रकाराः कस्य प्रकारेण वर्गीकर्तव्योऽन्ये च तेषां विशेषणानि किम्?,"तत्र त्रीणि मुख्यवर्गाणि सन्ति—पशुजाः, वनस्पतिजाः, पृथिव्याप्राप्ताः।","उदाहरणानि सन्ति शहद्, दुग्धम् (तस्य च उत्पादनेभ्यः) तथा पित्तम्।","एतेषु सुवर्णम्, पञ्च लोहाः (रूप्यं, ताम्रं, आयरम्, सीसम्, टिनम्) च, सिलिका, कैल्साइट्, रियलगार्, ओर्पिमेंट्, रत्नानि, लवणम्, ओखरम्, गैलेना इत्यादि सम्मिलितानि।","तत्र चत्वारि प्रकाराणि सन्ति—वनस्पति (केवले फलात्), विरुध (विसरत्वेन), वनस्पतिया (फूलैः फलैः च) तथा औषधि (फलन्यायेन परम् अनुपयुक्ता)।",
मूलिन्यः षोडशैकोना फलिन्यो विंशतिः स्मृताः ।।७४।। महास्नेहाश्च चत्वारः पञ्चैव लवणानि च । अष्टौ मूत्राणि संख्यातान्यष्टावेव पयांसि च ।।७५।। शोधनार्थाश्च षड्‌ वृक्षाः पुनर्वसुनिदर्शिताः । य एतान्‌ वेत्ति संयोक्तुं विकारेषु स वेदवित्‌ ।।७६।।,"The plants having useful roots are sixteen, those with useful fruits are nineteen, mahasneha (greater fats) are four, salts are five, urines are enumerated as eight and so the milks, trees useful for evacuation are six as shown by Punarvasu. That who knows to administer them (properly) in disorders is (a real) knower of (Ayurveda). [74-76]",How many plants are noted for having useful roots?,What is the number of plants recognized for their useful fruits?,How many types of greater fats (mahasneha) are mentioned?,"How many trees are identified as useful for evacuation, and who indicated this?",Sixteen.,Nineteen.,Four.,"Six trees, as indicated by Punarvasu.",उपयोगी जड़ों वाले पौधों की संख्या कितनी है?,उपयोगी फल वाले पौधों की संख्या क्या है?,महा‑स्नेह (बड़े वस) कितने प्रकार के हैं?,शोधनार्थ उपयोगी छह वृक्ष कौन‑से हैं और इन्हें किसने दर्शाया?,सोलह।,उन्नीस।,चार।,"छह वृक्ष, पुनर्वसु ने दर्शाए।",मूलिन्यः षोडशैकोना कियत्?,फलिन्यः विंशतिः कियत्?,महास्नेहाश्च चत्वारः कियन्तः?,शोधनार्थ षड् वृक्षाः को दर्शितवन्ति?,षोडश (१६)।,उन्नविंशतिः (१९)।,चत्वारः (४)।,"षड् वृक्षाः, पुनर्वसुः दर्शितवान्।",
"हस्तिदन्ती हैमवती श्यामा त्रिवृदधोगुडा । सप्तला श्वेतनामा गवाक्ष्यपि ।७७।। ज्योतिष्मती च बिम्बी च शणपुष्पी विषाणिका । अजगन्धा द्रवन्ती च क्षीरिणी चात्र षोडशी ।।७८।। शणपुष्पी च बिम्बी च च्छर्दने हैमवत्यपि । श्वेता ज्योतिष्मती चैव योज्या शीर्षविरेचने ।।७९।। एकादशावशिष्टा याः प्रयोज्यास्ता विरेचने । इत्युक्ता नामकर्मभ्यां मूलिन्यः,","Sixteen plant drugs having useful roots are hastidanti, haimavati, syama, trivrt, adhoguda, saptala, Swetanama, danti, gavaksi, jyotismati, bimbi, Sanapuspi, visanika, ajagandha, dravanti and ksirini. Sanapuspi, bimbi and haimavati are used for emesis, Sweta and jyotismati are useful for head-evacuation. The remaining eleven are useful for purgation. Thus the plant drugs having useful roots are mentioned with name and action. [77-79]",Which of the sixteen plant drugs listed are indicated for inducing emesis?,Which plant drugs are employed for head evacuation?,How many of the plant drugs mentioned are used for purgation?,Name three plant drugs from the list whose roots are considered useful.,"Sanapuspi, Bimbi, and Haimavati are used for emesis.",Sweta and Jyotismati are useful for head evacuation.,Eleven of the sixteen plant drugs are used for purgation.,"Examples include Hastidanti, Syama, and Dravanti, whose roots are useful.",कौन से पौधे के औषधि उल्टी (वमन) के लिये उपयोगी हैं?,कौन-सी औषधियां सिर की सफ़ाई (सिर-निर्मुक्ति) के लिये उपयोगी हैं?,कुल कितनी औषधियां शुद्धि (पर्गेशन) के लिये उपयोग की जाती हैं?,उपयोगी जड़ वाली तीन औषधियों के नाम बताइए।,"शणपुष्पी, बिंबी और हैमवती वमन में प्रयुक्त होते हैं।",श्वेता और ज्योतिष्मती सिर की सफ़ाई में लाभकारी हैं।,शेष ग्यारह औषधियां पर्गेशन हेतु प्रयुक्त होती हैं।,"हस्तिदंती, श्याम, तथा द्रवंटी इनकी जड़ें उपयोगी हैं।",कियत् औषधीनां वमनाय प्रयुज्यते?,शीर्षनिर्वरणे कियत् औषधीनां उपयोगः?,शुद्धिकार्ये कियत् औषधीनां कार्यम्?,उपयोगी जडैः त्रयोः औषधीनां नाम किम्?,"शणपुष्पी, बिब्बी, हैमवती वमनाय उपयोगीः।",श्वेता तथा ज्योतिष्मती शीर्षनिर्वरणे प्रयुज्यते।,शेषैकादश औषधीनां शुद्धिकार्ये उपयोगः।,"हस्तिदन्ती, श्यामा, द्रवण्ति इत्येते जडैः उपयोगीः।",
"शङ्खिन्यथ विडङ्गानि त्रपुषं मदनानि च |
धामार्गवमथेक्ष्वाकु जीमूतं कृतवेधनम् |
आनूपं स्थलजं चैव क्लीतकं द्विविधं स्मृतम् ||८१||
प्रकीर्या चोदकीर्या च प्रत्यक्पुष्पा तथाऽभया |
अन्तःकोटरपुष्पी च हस्तिपर्ण्याश्च [१६] शारदम् ||८२||
कम्पिल्लकारग्वधयोः फलं यत् कुटजस्य च |
धामार्गवमथेक्ष्वाकु जीमूतं कृतवेधनम् ||८३||
मदनं कुटजं चैव त्रपुषं हस्तिपर्णिनी |
एतानि वमने चैव योज्यान्यास्थापनेषु च ||८४||
नस्तः प्रच्छर्दने चैव प्रत्यक्पुष्पा विधीयते |
दश यान्यवशिष्टानि तान्युक्तानि विरेचने ||८५||
नामकर्मभिरुक्तानि फलान्येकोनविंशतिः |८६|","Now listen about the plant drugs having useful fruits. They are—Sankhini, vidanga, trapusa, madana, dhamargava, iksvaku, jimuta, krtavedhana. Two types of klitakaaquatic and terrestial, prakirya, udakirya, apamarga, haritaki, antahkotarapuspi, autumnal fruit of hastiparni, fruits of kampillaka, aragvadha and kutaja. Dhamaragava, iksvaku, jimuta, krtavedhana, madana, kutaja, trapusa and hastiparni-these may be used for emesis and asthapana basti (non-unctuous enemata). Apamarga is prescribed for nasal evacuation. The remaining ten are used for purgation. Thus nineteen fruits (plant drugs having useful fruits) are described with names and actions. [80-85]",Which plant fruits are indicated for inducing vomiting and for asthapana basti (non‑unctuous enemata)?,What is the therapeutic use of apamarga among the listed plant fruits?,"How many plant fruits are described in total, and how many of them are used for purgation?",Into which two habitat categories are these fruits divided?,"Dhamargava, iksvaku, jimuta, krtavedhana, madana, kutaja, trapusa, and hastiparni are used for emesis and asthapana basti.",Apamarga is prescribed for nasal evacuation.,Nineteen fruits are described; ten of them are used for purgation.,They are divided into aquatic (klita) and terrestrial types.,कौन‑से फल उल्टी करने और अष्टापान बस्ती (नॉन‑उन्क्टुअस एनेमा) के लिये उपयोग किए जाते हैं?,उपरोक्त फलों में अपामरग का विशेष चिकित्सीय प्रयोग क्या है?,कुल मिलाकर कितने फल वर्णित हैं और उनमें से कितने शुद्धि (पर्गेशन) के लिये प्रयोग होते हैं?,इन फलों को दो प्रकार के आवास में विभाजित किया गया है; वे कौन‑से हैं?,"धामरगव, इक्ष्वाकु, जिमूत, कृतवेधन, मदन, कुटज, त्रपुश और हस्तिपर्णी उल्टी और अष्टापान बस्ती के लिये प्रयोग होते हैं।",इसे नासिका निकासी (नासिकीय शोधन) के लिये दिया जाता है।,कुल उन्नीस फल वर्णित हैं; उनमें से दस शुद्धि के लिये प्रयुक्त होते हैं।,इन्हें जलज (क्लित) और स्थलीय (भौतिक) प्रकार में विभाजित किया गया है।,कस्याः फलं उल्त्यर्थे च अष्टापान बस्तौ (नॉन‑उन्क्टुअस् एनेमा) प्रयुज्यते?,एषु फलेषु अपामर्गस्य विशेषः चिकित्सायाः कायः?,"कुलमत्र फलं कियत् वर्णितम्, तत्र कियत् शुद्ध्यर्थे (पर्गेशन) प्रयुज्यन्ते?",एतानि फलानि कत्रिचित् आवासे विभज्यन्ति? तत्र कोः द्वौ वर्गः?,"धामार्गव, इक्ष्वाकु, जिमूत, कृतवेधन, मदन, कुटज, त्रपुश तथा हस्तिपर्णी उल्त्यर्थे च अष्टापान बस्तौ प्रयुज्यन्ते।",अपामर्गं नासिकायाः निष्क्रमणाय प्रयुज्यते।,उन्नविंशत् फलं वर्णितानि; तत्र दश फलं शुद्ध्यर्थे प्रयुज्यन्ते।,एतानि जलज (क्लित) च स्थलीय (भौतिक) च वर्गयोः विभज्यन्ते।,
"सर्पिस्तैलं वसा मज्जा स्नेहो दिष्टश्चतुर्विधः [१७] ||८६||
पानाभ्यञ्जनबस्त्यर्थं नस्यार्थं चैव योगतः |
स्नेहना जीवना वर्ण्या बलोपचयवर्धनाः ||८७||
स्नेहा ह्येते च विहिता वातपित्तकफापहाः ||८८||
","Fat is said as of four types—ghee, oil, muscle-fat and marrow. They are used respectively for intake, massage, enemata and snuff. These fats are mentioned as promoting unctuousness, vitality, complexion, strength and development and alleviating vata, pitta and kapha. [86-87]",What are the four types of fat recognized in the Ayurvedic system?,Which type of fat is traditionally used for internal consumption?,Which type of fat is commonly applied in massage therapy?,How do these fats affect the three bodily humors (doshas) in Ayurvedic practice?,"The four types are ghee, oil, muscle fat, and marrow.",Ghee is used for intake as a dietary fat.,Oil is employed for massage applications.,"They help pacify or remove vata, pitta, and kapha.",आयुर्वेद में मान्यता प्राप्त चार प्रकार की वसा कौन‑कौन सी हैं?,इन वसाओं में से कौन सी वसा का उपयोग आहार के रूप में किया जाता है?,मसाज के लिये किस प्रकार की वसा का प्रयोग किया जाता है?,"ये वसायुक्त पदार्थ तीनों दोषों (वात, पित्त, कफ) पर कैसे प्रभाव डालते हैं?","घी, तेल, मांसपेशी वसा और सर्पि (हड्डी का मैरो) चार प्रकार की वसा हैं।",घी को आहार के लिये उपयोग किया जाता है।,तेल को मालिश में उपयोग किया जाता है।,"वे वात, पित्त और कफ को शमन या निरोधन करते हैं।",कस्य चार प्रकाराः वसाः आयुर्वेदे प्रतिपादिताः?,एतेषु वसासु कस्य उपयोगः आहारस्यान्तरिते?,कस्य वसाया उपयोगः मालिशाय उपयुक्तः?,एते वसाः वातपित्तकफ दोषान् कथं निरोद्धुं समर्थाः?,"घी, तैल, मांसवसा, सर्पिस्तैलः इति चत्वारि प्रकाराः वसाः।",घी आहारस्य उपयोगः कर्तुं प्रयुज्यते।,तैलं मालिशाय प्रयुज्यते।,"ते वातम्, पित्तम्, कफम् च शमनं कुर्वन्ति।",
